ensemble_size,max_superdroplets,time_s,metric,full50_point_estimate,projected_95ci_low,projected_95ci_high,projected_95ci_half_width,accuracy_margin,precision_margin,accuracy_pass,precision_pass
30,32768,1800.0,golovin_relative_error_radius_moment_6_um6_m3,-0.0032488349207540445,-0.01782866991272413,0.01133100007121604,0.014579834991970086,0.05,0.05,True,True
30,32768,2400.0,ensemble_mean_l1_bins_500,0.014568015141345463,0.019544125702388313,0.027417314590312804,0.003936594443962245,0.05,0.01,True,True
30,32768,2400.0,golovin_relative_error_radius_moment_0_m3,-0.0016374082399054023,-0.0056618738963972685,0.0023870574165864634,0.004024465656491866,0.05,0.025,True,True
30,32768,2400.0,golovin_relative_error_radius_moment_6_um6_m3,-0.006537717623629231,-0.02418972120439988,0.01111428595714142,0.01765200358077065,0.05,0.05,True,True
30,32768,3000.0,ensemble_mean_l1_bins_500,0.018555620797277118,0.023946723046886685,0.03343664290171336,0.004744959927413337,0.05,0.01,True,True
30,32768,3000.0,golovin_relative_error_radius_moment_0_m3,-0.0012798833704180468,-0.005518264927091985,0.0029584981862558913,0.004238381556673938,0.05,0.025,True,True
30,32768,3000.0,golovin_relative_error_radius_moment_6_um6_m3,-0.006426922864794866,-0.02765605705844532,0.014802211328855588,0.021229134193650454,0.05,0.05,True,True
30,32768,3600.0,ensemble_mean_l1_bins_500,0.02076102542264232,0.027062293769045388,0.038251869600276996,0.005594787915615804,0.05,0.01,True,True
30,32768,3600.0,golovin_relative_error_radius_moment_0_m3,-0.0014888721227954772,-0.005722261435101919,0.0027445171895109644,0.004233389312306442,0.05,0.025,True,True
30,32768,3600.0,golovin_relative_error_radius_moment_6_um6_m3,-0.00459707846641946,-0.028134022329013363,0.018939865396174444,0.023536943862593904,0.05,0.05,True,True
30,65536,600.0,ensemble_mean_l1_bins_500,0.00909078102393861,0.012338113963144293,0.01780094257444318,0.002731414305649444,0.05,0.01,True,True
30,65536,600.0,golovin_relative_error_radius_moment_0_m3,-0.0016519387371730177,-0.003625189423317325,0.0003213119489712897,0.0019732506861443073,0.05,0.025,True,True
30,65536,600.0,golovin_relative_error_radius_moment_6_um6_m3,-0.0004641251514571865,-0.005458988563732301,0.004530738260817928,0.004994863412275115,0.05,0.05,True,True
30,65536,1200.0,ensemble_mean_l1_bins_500,0.00837675577936683,0.012003243892023454,0.017742819990215448,0.002869788049095997,0.05,0.01,True,True
30,65536,1200.0,golovin_relative_error_radius_moment_0_m3,-0.0016097633741761009,-0.004236599132775033,0.0010170723844228316,0.002626835758598932,0.05,0.025,True,True
30,65536,1200.0,golovin_relative_error_radius_moment_6_um6_m3,0.0022174451236811987,-0.005098686948153597,0.009533577195515995,0.007316132071834796,0.05,0.05,True,True
30,65536,1800.0,ensemble_mean_l1_bins_500,0.012594205345963902,0.015352650778284242,0.020458725672124742,0.00255303744692025,0.05,0.01,True,True
30,65536,1800.0,golovin_relative_error_radius_moment_0_m3,-0.0009898224808383648,-0.0037626447827734904,0.0017829998210967609,0.0027728223019351256,0.05,0.025,True,True
30,65536,1800.0,golovin_relative_error_radius_moment_6_um6_m3,0.0008604419474523773,-0.00834966384583981,0.010070547740744564,0.009210105793292187,0.05,0.05,True,True
30,65536,2400.0,ensemble_mean_l1_bins_500,0.011646583470514739,0.014823894111650172,0.02040130516203036,0.0027887055251900935,0.05,0.01,True,True
30,65536,2400.0,golovin_relative_error_radius_moment_0_m3,-0.0008305316606794521,-0.0038008847881481067,0.002139821466789202,0.0029703531274686544,0.05,0.025,True,True
30,65536,2400.0,golovin_relative_error_radius_moment_6_um6_m3,7.216073364134657e-05,-0.010426830069075351,0.010571151536358046,0.010498990802716698,0.05,0.05,True,True
30,65536,3000.0,ensemble_mean_l1_bins_500,0.012785202341637394,0.016713386689844092,0.023070080557232614,0.003178346933694261,0.05,0.01,True,True
30,65536,3000.0,golovin_relative_error_radius_moment_0_m3,-0.0008029099853118438,-0.003799022655748307,0.0021932026851246194,0.0029961126704364633,0.05,0.025,True,True
30,65536,3000.0,golovin_relative_error_radius_moment_6_um6_m3,-0.0004979647066375392,-0.012161252140313373,0.011165322727038296,0.011663287433675834,0.05,0.05,True,True
30,65536,3600.0,ensemble_mean_l1_bins_500,0.015466763187749595,0.019844320458788364,0.02782062038544725,0.003988149963329444,0.05,0.01,True,True
30,65536,3600.0,golovin_relative_error_radius_moment_0_m3,-0.0008704410874114155,-0.0038454770871496537,0.002104594912326823,0.0029750359997382384,0.05,0.025,True,True
30,65536,3600.0,golovin_relative_error_radius_moment_6_um6_m3,0.0012455291954745528,-0.01260091952241009,0.015091977913359197,0.013846448717884643,0.05,0.05,True,True
30,131072,600.0,ensemble_mean_l1_bins_500,0.006816382309932616,0.008743632030557369,0.012535606067777729,0.0018959870186101803,0.05,0.01,True,True
30,131072,600.0,golovin_relative_error_radius_moment_0_m3,0.0006052336680441628,-0.0007061063302955586,0.0019165736663838842,0.0013113399983397213,0.05,0.025,True,True
30,131072,600.0,golovin_relative_error_radius_moment_6_um6_m3,-0.00011604099260753342,-0.003981921660933953,0.003749839675718886,0.0038658806683264193,0.05,0.05,True,True
30,131072,1200.0,ensemble_mean_l1_bins_500,0.006564741177222185,0.008985481691740429,0.012803229244699961,0.001908873776479766,0.05,0.01,True,True
30,131072,1200.0,golovin_relative_error_radius_moment_0_m3,0.0007789568773160682,-0.0009909762781494316,0.002548890032781568,0.0017699331554654999,0.05,0.025,True,True
30,131072,1200.0,golovin_relative_error_radius_moment_6_um6_m3,-0.0017153960015222646,-0.007279098618832159,0.0038483066157876298,0.005563702617309894,0.05,0.05,True,True
30,131072,1800.0,ensemble_mean_l1_bins_500,0.009618165762084845,0.011286209346125602,0.01474190872385186,0.001727849688863129,0.05,0.01,True,True
30,131072,1800.0,golovin_relative_error_radius_moment_0_m3,0.0008050336768581179,-0.0013035622010910811,0.002913629554807317,0.002108595877949199,0.05,0.025,True,True
30,131072,1800.0,golovin_relative_error_radius_moment_6_um6_m3,-0.00157885718543767,-0.0073762503415930065,0.004218535970717667,0.005797393156155337,0.05,0.05,True,True
30,131072,2400.0,ensemble_mean_l1_bins_500,0.00873132876674437,0.010992487492024628,0.014736522012544233,0.0018720172602598025,0.05,0.01,True,True
30,131072,2400.0,golovin_relative_error_radius_moment_0_m3,0.0004234394233098682,-0.0017143495419066357,0.002561228388526372,0.002137788965216504,0.05,0.025,True,True
30,131072,2400.0,golovin_relative_error_radius_moment_6_um6_m3,-0.0015573650173529652,-0.009558733170277531,0.0064440031355716,0.008001368152924565,0.05,0.05,True,True
30,131072,3000.0,ensemble_mean_l1_bins_500,0.008760124137509744,0.011432458226003932,0.01636094663651183,0.0024642442052539492,0.05,0.01,True,True
30,131072,3000.0,golovin_relative_error_radius_moment_0_m3,0.000175391054478653,-0.0020017852270951186,0.0023525673360524245,0.0021771762815737715,0.05,0.025,True,True
30,131072,3000.0,golovin_relative_error_radius_moment_6_um6_m3,-0.0038464325065448637,-0.012375528175321835,0.004682663162232108,0.008529095668776972,0.05,0.05,True,True
30,131072,3600.0,ensemble_mean_l1_bins_500,0.009862473543788159,0.013641312500270059,0.01913661552182073,0.0027476515107753363,0.05,0.01,True,True
30,131072,3600.0,golovin_relative_error_radius_moment_0_m3,-2.481413089155282e-05,-0.0022696234766131527,0.0022199952148300468,0.0022448093457215997,0.05,0.025,True,True
30,131072,3600.0,golovin_relative_error_radius_moment_6_um6_m3,-0.008842042494688104,-0.018692511236927813,0.001008426247551604,0.009850468742239708,0.05,0.05,True,True
30,262144,600.0,ensemble_mean_l1_bins_500,0.004319370590495033,0.005933537005781633,0.008664783901540062,0.0013656234478792145,0.05,0.01,True,True
30,262144,600.0,golovin_relative_error_radius_moment_0_m3,0.00044141079296787565,-0.00038174635330711314,0.0012645679392428643,0.0008231571462749888,0.05,0.025,True,True
30,262144,600.0,golovin_relative_error_radius_moment_6_um6_m3,-0.0010025487924447507,-0.0036603815892841526,0.0016552840043946512,0.002657832796839402,0.05,0.05,True,True
30,262144,1200.0,ensemble_mean_l1_bins_500,0.005718311755226475,0.007093621931655053,0.009494006884188354,0.0012001924762666503,0.05,0.01,True,True
30,262144,1200.0,golovin_relative_error_radius_moment_0_m3,0.0008655361193212841,-0.00015320224088622553,0.0018842744795287936,0.0010187383602075096,0.05,0.025,True,True
30,262144,1200.0,golovin_relative_error_radius_moment_6_um6_m3,-0.0017231875733849256,-0.005929454761942845,0.002483079615172994,0.00420626718855792,0.05,0.05,True,True
30,262144,1800.0,ensemble_mean_l1_bins_500,0.008346062196641867,0.009574147316397498,0.011912574326707445,0.001169213505154973,0.05,0.01,True,True
30,262144,1800.0,golovin_relative_error_radius_moment_0_m3,0.0005903381375694017,-0.0005816261495735874,0.0017623024247123906,0.001171964287142989,0.05,0.025,True,True
30,262144,1800.0,golovin_relative_error_radius_moment_6_um6_m3,-0.0029577261681544287,-0.007918141259947426,0.002002688923638569,0.004960415091792998,0.05,0.05,True,True
30,262144,2400.0,ensemble_mean_l1_bins_500,0.0069957080522865854,0.008234527260387557,0.010998254260507443,0.0013818635000599428,0.05,0.01,True,True
30,262144,2400.0,golovin_relative_error_radius_moment_0_m3,0.00042386346319562174,-0.0008377969374394786,0.0016855238638307222,0.0012616604006351004,0.05,0.025,True,True
30,262144,2400.0,golovin_relative_error_radius_moment_6_um6_m3,-0.003017006921072001,-0.009162124271927752,0.0031281104297837493,0.006145117350855751,0.05,0.05,True,True
30,262144,3000.0,ensemble_mean_l1_bins_500,0.005982558918652724,0.008006644822616725,0.011290730382494878,0.0016420427799390767,0.05,0.01,True,True
30,262144,3000.0,golovin_relative_error_radius_moment_0_m3,0.0005564358615145526,-0.0007077829719756317,0.001820654695004737,0.0012642188334901843,0.05,0.025,True,True
30,262144,3000.0,golovin_relative_error_radius_moment_6_um6_m3,-0.002220928158559663,-0.008880147938924526,0.0044382916218052,0.006659219780364863,0.05,0.05,True,True
30,262144,3600.0,ensemble_mean_l1_bins_500,0.00813698012203576,0.010050851681225681,0.014266359434671963,0.0021077538767231407,0.05,0.01,True,True
30,262144,3600.0,golovin_relative_error_radius_moment_0_m3,0.0004888765638266035,-0.0007713533618324989,0.001749106489485706,0.0012602299256591024,0.05,0.025,True,True
30,262144,3600.0,golovin_relative_error_radius_moment_6_um6_m3,-0.0038640811273555698,-0.012310350250291507,0.004582187995580369,0.008446269122935939,0.05,0.05,True,True
30,524288,600.0,ensemble_mean_l1_bins_500,0.00358385490178119,0.004587696966971479,0.006454671774241209,0.0009334874036348649,0.05,0.01,True,True
30,524288,600.0,golovin_relative_error_radius_moment_0_m3,3.999432368511968e-05,-0.0006012022345022996,0.0006811908818725389,0.0006411965581874193,0.05,0.025,True,True
30,524288,600.0,golovin_relative_error_radius_moment_6_um6_m3,0.0004702100130912168,-0.0012872397668010158,0.0022276597929834496,0.0017574497798922327,0.05,0.05,True,True
30,524288,1200.0,ensemble_mean_l1_bins_500,0.003984433100023063,0.005105843380921802,0.006939263538624387,0.0009167100788512925,0.05,0.01,True,True
30,524288,1200.0,golovin_relative_error_radius_moment_0_m3,0.00038074098134573744,-0.00036263909492946354,0.0011241210576209385,0.000743380076275201,0.05,0.025,True,True
30,524288,1200.0,golovin_relative_error_radius_moment_6_um6_m3,0.0007939355862038777,-0.002034537460536807,0.003622408632944562,0.0028284730467406844,0.05,0.05,True,True
30,524288,1800.0,ensemble_mean_l1_bins_500,0.008281366245938653,0.008710550485805456,0.010475002488202928,0.0008822260011987363,0.05,0.01,True,True
30,524288,1800.0,golovin_relative_error_radius_moment_0_m3,0.0002066278634311991,-0.0006431290086411763,0.0010563847355035746,0.0008497568720723754,0.05,0.025,True,True
30,524288,1800.0,golovin_relative_error_radius_moment_6_um6_m3,0.0005245558489984514,-0.0024228668188163893,0.003471978516813292,0.0029474226678148406,0.05,0.05,True,True
30,524288,2400.0,ensemble_mean_l1_bins_500,0.006335834177691896,0.0069808882045994565,0.008456628634406908,0.0007378702149037257,0.05,0.01,True,True
30,524288,2400.0,golovin_relative_error_radius_moment_0_m3,2.0271607780946166e-05,-0.0008459958722801474,0.0008865390878420398,0.0008662674800610936,0.05,0.025,True,True
30,524288,2400.0,golovin_relative_error_radius_moment_6_um6_m3,0.0007273013634128867,-0.0029132902441238303,0.004367892970949604,0.003640591607536717,0.05,0.05,True,True
30,524288,3000.0,ensemble_mean_l1_bins_500,0.004466015373302313,0.005864753405630521,0.008134289974907888,0.0011347682846386837,0.05,0.01,True,True
30,524288,3000.0,golovin_relative_error_radius_moment_0_m3,-0.00017132826640348098,-0.001061421058009566,0.0007187645252026041,0.000890092791606085,0.05,0.025,True,True
