ensemble_size,lower_max_superdroplets,upper_max_superdroplets,time_s,metric,full50_point_difference_lower_minus_upper,projected_95ci_low,projected_95ci_high,equivalence_margin,equivalence_pass
5,65536,131072,3000.0,golovin_relative_error_radius_moment_6_um6_m3,0.0033484677999073243,-0.037204672851478764,0.04390160845129341,0.05,True
5,65536,131072,3600.0,ensemble_mean_l1_bins_500,0.005604289643961436,0.00276082732040052,0.026281999065218494,0.01,False
5,65536,131072,3600.0,golovin_relative_error_radius_moment_0_m3,-0.0008456269565198626,-0.011275190324312704,0.00958393641127298,0.05,True
5,65536,131072,3600.0,golovin_relative_error_radius_moment_6_um6_m3,0.010087571690162656,-0.037736519899522494,0.0579116632798478,0.05,False
5,131072,262144,600.0,ensemble_mean_l1_bins_500,0.002497011719437583,0.0009759107785866249,0.012106945436226459,0.01,False
5,131072,262144,600.0,golovin_relative_error_radius_moment_0_m3,0.00016382287507628714,-0.004257063126341366,0.0045847088764939415,0.05,True
5,131072,262144,600.0,golovin_relative_error_radius_moment_6_um6_m3,0.0008865077998372172,-0.012365154777647188,0.014138170377321622,0.05,True
5,131072,262144,1200.0,ensemble_mean_l1_bins_500,0.0008464294219957093,0.000892093632124778,0.011869486016728993,0.01,False
5,131072,262144,1200.0,golovin_relative_error_radius_moment_0_m3,-8.657924200521582e-05,-0.005984255495688032,0.0058110970116776,0.05,True
5,131072,262144,1200.0,golovin_relative_error_radius_moment_6_um6_m3,7.791571862661006e-06,-0.01950726262903742,0.019522845772762743,0.05,True
5,131072,262144,1800.0,ensemble_mean_l1_bins_500,0.0012721035654429773,0.0005354607643088799,0.011115235433363348,0.01,False
5,131072,262144,1800.0,golovin_relative_error_radius_moment_0_m3,0.0002146955392887162,-0.006785460630839133,0.007214851709416565,0.05,True
5,131072,262144,1800.0,golovin_relative_error_radius_moment_6_um6_m3,0.0013788689827167588,-0.019781544721723776,0.02253928268715729,0.05,True
5,131072,262144,2400.0,ensemble_mean_l1_bins_500,0.001735620714457784,0.001510773909396735,0.013137242348206436,0.01,False
5,131072,262144,2400.0,golovin_relative_error_radius_moment_0_m3,-4.2403988575356226e-07,-0.007145186892929899,0.007144338813158392,0.05,True
5,131072,262144,2400.0,golovin_relative_error_radius_moment_6_um6_m3,0.0014596419037190356,-0.026729898354936357,0.029649182162374426,0.05,True
5,131072,262144,3000.0,ensemble_mean_l1_bins_500,0.0027775652188570202,0.0014222160606596572,0.01564448742781549,0.01,False
5,131072,262144,3000.0,golovin_relative_error_radius_moment_0_m3,-0.00038104480703589957,-0.0076431076678737464,0.006881018053801947,0.05,True
5,131072,262144,3000.0,golovin_relative_error_radius_moment_6_um6_m3,-0.0016255043479852008,-0.031819422734349574,0.02856841403837917,0.05,True
5,131072,262144,3600.0,ensemble_mean_l1_bins_500,0.0017254934217523984,0.0014486261731850587,0.0180230463079966,0.01,False
5,131072,262144,3600.0,golovin_relative_error_radius_moment_0_m3,-0.0005136906947181564,-0.007973564105903615,0.0069461827164673026,0.05,True
5,131072,262144,3600.0,golovin_relative_error_radius_moment_6_um6_m3,-0.0049779613673325345,-0.0409603884754857,0.03100446574082063,0.05,True
5,262144,524288,600.0,ensemble_mean_l1_bins_500,0.0007355156887138433,0.00025546563204970177,0.008286602820398515,0.01,True
5,262144,524288,600.0,golovin_relative_error_radius_moment_0_m3,0.00040141646928275597,-0.002510627503723391,0.003313460442288903,0.05,True
5,262144,524288,600.0,golovin_relative_error_radius_moment_6_um6_m3,-0.0014727588055359676,-0.010513277981837231,0.007567760370765297,0.05,True
5,262144,524288,1200.0,ensemble_mean_l1_bins_500,0.0017338786552034127,0.0007668107381225502,0.008254637688557748,0.01,True
5,262144,524288,1200.0,golovin_relative_error_radius_moment_0_m3,0.0004847951379755466,-0.0030554399056844307,0.004025030181635524,0.05,True
5,262144,524288,1200.0,golovin_relative_error_radius_moment_6_um6_m3,-0.0025171231595888036,-0.01687071231059785,0.011836465991420244,0.05,True
5,262144,524288,1800.0,ensemble_mean_l1_bins_500,6.46959507032141e-05,0.00043982887198540995,0.007723561277968497,0.01,True
5,262144,524288,1800.0,golovin_relative_error_radius_moment_0_m3,0.0003837102741382026,-0.00368257705849088,0.004449997606767285,0.05,True
5,262144,524288,1800.0,golovin_relative_error_radius_moment_6_um6_m3,-0.00348228201715288,-0.020074910847806233,0.013110346813500474,0.05,True
5,262144,524288,2400.0,ensemble_mean_l1_bins_500,0.0006598738745946893,0.000891946243522735,0.008849423974007689,0.01,True
5,262144,524288,2400.0,golovin_relative_error_radius_moment_0_m3,0.0004035918554146756,-0.003920000668404325,0.004727184379233676,0.05,True
5,262144,524288,2400.0,golovin_relative_error_radius_moment_6_um6_m3,-0.0037443082844848875,-0.024292012394639875,0.016803395825670097,0.05,True
5,262144,524288,3000.0,ensemble_mean_l1_bins_500,0.001516543545350411,0.0012224302799772263,0.010901624402497674,0.01,False
5,262144,524288,3000.0,golovin_relative_error_radius_moment_0_m3,0.0007277641279180336,-0.003628334871998746,0.005083863127834813,0.05,True
5,262144,524288,3000.0,golovin_relative_error_radius_moment_6_um6_m3,-0.0038374098021472934,-0.02657126766398158,0.018896448059686995,0.05,True
5,262144,524288,3600.0,ensemble_mean_l1_bins_500,0.0032703426268106423,0.001792985437805155,0.013472902191084492,0.01,False
5,262144,524288,3600.0,golovin_relative_error_radius_moment_0_m3,0.0007689713332399318,-0.0036058232613952277,0.005143765927875091,0.05,True
5,262144,524288,3600.0,golovin_relative_error_radius_moment_6_um6_m3,-0.005357345645719678,-0.034289868268859866,0.02357517697742051,0.05,True
5,524288,1048576,600.0,ensemble_mean_l1_bins_500,0.0010780850054800933,0.0006385480623529043,0.006230045803235411,0.01,True
5,524288,1048576,600.0,golovin_relative_error_radius_moment_0_m3,-8.31498148549792e-05,-0.0023130587387459843,0.0021467591090360257,0.05,True
5,524288,1048576,600.0,golovin_relative_error_radius_moment_6_um6_m3,0.0012328279854281511,-0.004669014776671745,0.007134670747528047,0.05,True
5,524288,1048576,1200.0,ensemble_mean_l1_bins_500,0.0009844293107363067,0.0006959076862392856,0.006171242734799517,0.01,True
5,524288,1048576,1200.0,golovin_relative_error_radius_moment_0_m3,0.0004598926614633192,-0.002283765246907728,0.0032035505698343666,0.05,True
5,524288,1048576,1200.0,golovin_relative_error_radius_moment_6_um6_m3,0.0014552631040591346,-0.008058755885881405,0.010969282093999675,0.05,True
5,524288,1048576,1800.0,ensemble_mean_l1_bins_500,0.0010559623399274479,0.0002858697020118368,0.005376952642116564,0.01,True
5,524288,1048576,1800.0,golovin_relative_error_radius_moment_0_m3,0.00044236324496952587,-0.0025670251028794247,0.0034517515928184765,0.05,True
5,524288,1048576,1800.0,golovin_relative_error_radius_moment_6_um6_m3,0.001893796506546459,-0.008237862787437693,0.012025455800530611,0.05,True
5,524288,1048576,2400.0,ensemble_mean_l1_bins_500,0.0007962183811570352,0.0005997385291744496,0.00599259378028109,0.01,True
5,524288,1048576,2400.0,golovin_relative_error_radius_moment_0_m3,0.0002887796449694635,-0.0028719395655280445,0.0034494988554669716,0.05,True
5,524288,1048576,2400.0,golovin_relative_error_radius_moment_6_um6_m3,0.0021344281150293297,-0.010231594760489494,0.014500450990548155,0.05,True
5,524288,1048576,3000.0,ensemble_mean_l1_bins_500,0.0008141929583655801,0.0006634959027105689,0.00756104923627698,0.01,True
5,524288,1048576,3000.0,golovin_relative_error_radius_moment_0_m3,0.00020163086389133998,-0.0029862312012293247,0.0033894929290120045,0.05,True
5,524288,1048576,3000.0,golovin_relative_error_radius_moment_6_um6_m3,0.0024725315069291432,-0.012851188264750292,0.01779625127860858,0.05,True
5,524288,1048576,3600.0,ensemble_mean_l1_bins_500,0.0010994792830759216,0.0009429881821539688,0.009007028738093514,0.01,True
5,524288,1048576,3600.0,golovin_relative_error_radius_moment_0_m3,0.00019295888261293247,-0.0030377520783507173,0.003423669843576582,0.05,True
5,524288,1048576,3600.0,golovin_relative_error_radius_moment_6_um6_m3,0.002438405528546057,-0.017369644736914512,0.022246455794006623,0.05,True
6,4096,8192,600.0,ensemble_mean_l1_bins_500,0.010646443679656024,0.0030016280113357953,0.06016689545774186,0.01,False
6,4096,8192,600.0,golovin_relative_error_radius_moment_0_m3,0.002918019986929295,-0.022863411492464337,0.02869945146632293,0.05,True
6,4096,8192,600.0,golovin_relative_error_radius_moment_6_um6_m3,-0.009391378343555325,-0.07066160183309254,0.0518788451459819,0.05,False
6,4096,8192,1200.0,ensemble_mean_l1_bins_500,0.01032932340727128,0.0056742205768694496,0.06117471518278488,0.01,False
6,4096,8192,1200.0,golovin_relative_error_radius_moment_0_m3,0.0011462970863592092,-0.0275669778995572,0.029859572072275617,0.05,True
6,4096,8192,1200.0,golovin_relative_error_radius_moment_6_um6_m3,-0.009496849491848577,-0.10570755988030772,0.08671386089661057,0.05,False
6,4096,8192,1800.0,ensemble_mean_l1_bins_500,0.010539323146189473,0.005667503784073043,0.061859371871049056,0.01,False
6,4096,8192,1800.0,golovin_relative_error_radius_moment_0_m3,-0.002686110060303406,-0.03404087742379345,0.028668657303186636,0.05,True
6,4096,8192,1800.0,golovin_relative_error_radius_moment_6_um6_m3,-0.005732354361670149,-0.1226763033234733,0.11121159460013301,0.05,False
6,4096,8192,2400.0,ensemble_mean_l1_bins_500,0.014121665108384713,0.007821439099606671,0.0674748920357018,0.01,False
6,4096,8192,2400.0,golovin_relative_error_radius_moment_0_m3,-0.0015882544173717438,-0.03570295753823855,0.03252644870349506,0.05,True
6,4096,8192,2400.0,golovin_relative_error_radius_moment_6_um6_m3,0.0011396646773432668,-0.13208174490965338,0.13436107426433994,0.05,False
6,4096,8192,3000.0,ensemble_mean_l1_bins_500,0.016170966190678197,0.005170191247302146,0.0749732356864199,0.01,False
6,4096,8192,3000.0,golovin_relative_error_radius_moment_0_m3,-7.9981786087523e-06,-0.0341825676366706,0.03416657127945309,0.05,True
6,4096,8192,3000.0,golovin_relative_error_radius_moment_6_um6_m3,0.009258408735591106,-0.16196743190174628,0.1804842493729285,0.05,False
6,4096,8192,3600.0,ensemble_mean_l1_bins_500,0.01523766158126355,0.007288585695726903,0.09014407653001255,0.01,False
6,4096,8192,3600.0,golovin_relative_error_radius_moment_0_m3,0.00011808026243442554,-0.03439937307659992,0.034635533601468774,0.05,True
6,4096,8192,3600.0,golovin_relative_error_radius_moment_6_um6_m3,-0.011400566122131662,-0.20480332369503676,0.18200219145077343,0.05,False
6,8192,16384,600.0,ensemble_mean_l1_bins_500,0.00447613162721236,0.0024070376276969347,0.04331978867763367,0.01,False
6,8192,16384,600.0,golovin_relative_error_radius_moment_0_m3,-0.0005037539747149311,-0.017208789080849003,0.016201281131419144,0.05,True
6,8192,16384,600.0,golovin_relative_error_radius_moment_6_um6_m3,-0.006482440720361811,-0.056793754844646244,0.04382887340392262,0.05,False
6,8192,16384,1200.0,ensemble_mean_l1_bins_500,0.011324354208979644,0.003562242482908235,0.04395860742785938,0.01,False
6,8192,16384,1200.0,golovin_relative_error_radius_moment_0_m3,-0.0025524423585875965,-0.0241569159245812,0.01905203120740601,0.05,True
6,8192,16384,1200.0,golovin_relative_error_radius_moment_6_um6_m3,0.0025103638737196702,-0.06659956061818406,0.0716202883656234,0.05,False
6,8192,16384,1800.0,ensemble_mean_l1_bins_500,0.00480244635985496,0.005222583185814984,0.045865009578992345,0.01,False
6,8192,16384,1800.0,golovin_relative_error_radius_moment_0_m3,-0.0011936271905278305,-0.023945636380674915,0.02155838199961925,0.05,True
6,8192,16384,1800.0,golovin_relative_error_radius_moment_6_um6_m3,-0.0013483605455431504,-0.08811007529520505,0.08541335420411876,0.05,False
6,8192,16384,2400.0,ensemble_mean_l1_bins_500,0.00466168817817194,0.004330260666616092,0.04790635280307816,0.01,False
6,8192,16384,2400.0,golovin_relative_error_radius_moment_0_m3,0.0016517359100811733,-0.023318957400322755,0.0266224292204851,0.05,True
6,8192,16384,2400.0,golovin_relative_error_radius_moment_6_um6_m3,-0.010217970884599333,-0.11218421181888678,0.09174827004968812,0.05,False
6,8192,16384,3000.0,ensemble_mean_l1_bins_500,0.012827281353564531,0.007752375564688025,0.06018004234139316,0.01,False
6,8192,16384,3000.0,golovin_relative_error_radius_moment_0_m3,0.000918970439858131,-0.02338644000100084,0.0252243808807171,0.05,True
6,8192,16384,3000.0,golovin_relative_error_radius_moment_6_um6_m3,-0.006490784661598115,-0.12433168860215853,0.11135011927896231,0.05,False
6,8192,16384,3600.0,ensemble_mean_l1_bins_500,0.013202520108023919,0.00856541398742288,0.06842034660367512,0.01,False
6,8192,16384,3600.0,golovin_relative_error_radius_moment_0_m3,0.0010989830137686663,-0.023419242655356422,0.02561720868289375,0.05,True
6,8192,16384,3600.0,golovin_relative_error_radius_moment_6_um6_m3,0.009531054400332403,-0.14362026806365463,0.16268237686431947,0.05,False
6,16384,32768,600.0,ensemble_mean_l1_bins_500,0.006161136760722852,0.003269668221438854,0.03197103552788471,0.01,False
