case_index	run_label	matrix_stage	initialization_family	kernel	max_superdroplets	collision_timestep_s	observation_timestep_s	end_time_s	model_threads	member_index	initialization_seed	collision_seed	controlled_bundle_label
68	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m068	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	68	not_applicable	1500428580483769021	golovin_controlled_highres_N016384_v1
69	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m069	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	69	not_applicable	2404510891055909092	golovin_controlled_highres_N016384_v1
70	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m070	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	70	not_applicable	9230928699310487270	golovin_controlled_highres_N016384_v1
71	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m071	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	71	not_applicable	7235443260716414647	golovin_controlled_highres_N016384_v1
72	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m072	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	72	not_applicable	15018895619106101443	golovin_controlled_highres_N016384_v1
73	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m073	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	73	not_applicable	15318686798727221233	golovin_controlled_highres_N016384_v1
74	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m074	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	74	not_applicable	16320675089484441291	golovin_controlled_highres_N016384_v1
75	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m075	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	75	not_applicable	15373324112192528115	golovin_controlled_highres_N016384_v1
76	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m076	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	76	not_applicable	11405581018019737447	golovin_controlled_highres_N016384_v1
77	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m077	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	77	not_applicable	11313057295343843690	golovin_controlled_highres_N016384_v1
78	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m078	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	78	not_applicable	18093993135212706431	golovin_controlled_highres_N016384_v1
79	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m079	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	79	not_applicable	555784549646163707	golovin_controlled_highres_N016384_v1
80	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m080	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	80	not_applicable	15268152206610910788	golovin_controlled_highres_N016384_v1
81	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m081	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	81	not_applicable	2187614493238226841	golovin_controlled_highres_N016384_v1
82	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m082	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	82	not_applicable	7626814126105980490	golovin_controlled_highres_N016384_v1
83	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m083	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	83	not_applicable	10399409256278304454	golovin_controlled_highres_N016384_v1
84	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m084	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	84	not_applicable	11561166096492502938	golovin_controlled_highres_N016384_v1
85	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m085	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	85	not_applicable	1425300147235030559	golovin_controlled_highres_N016384_v1
