case_index	run_label	matrix_stage	initialization_family	kernel	max_superdroplets	collision_timestep_s	observation_timestep_s	end_time_s	model_threads	member_index	initialization_seed	collision_seed	controlled_bundle_label
64	golovin_controlled_resolution_convergence_v1_N004096_dt0p1_m004	golovin_controlled_resolution_convergence_v1	controlled	golovin	4096	0.1	300.0	3600.0	1	4	not_applicable	2974181116755008410	golovin_controlled_N004096_v1
65	golovin_controlled_resolution_convergence_v1_N004096_dt0p1_m005	golovin_controlled_resolution_convergence_v1	controlled	golovin	4096	0.1	300.0	3600.0	1	5	not_applicable	8769369845630750229	golovin_controlled_N004096_v1
66	golovin_controlled_resolution_convergence_v1_N004096_dt0p1_m006	golovin_controlled_resolution_convergence_v1	controlled	golovin	4096	0.1	300.0	3600.0	1	6	not_applicable	8970741373877314020	golovin_controlled_N004096_v1
67	golovin_controlled_resolution_convergence_v1_N004096_dt0p1_m007	golovin_controlled_resolution_convergence_v1	controlled	golovin	4096	0.1	300.0	3600.0	1	7	not_applicable	9902047671187200311	golovin_controlled_N004096_v1
68	golovin_controlled_resolution_convergence_v1_N004096_dt0p1_m008	golovin_controlled_resolution_convergence_v1	controlled	golovin	4096	0.1	300.0	3600.0	1	8	not_applicable	16836648078431480783	golovin_controlled_N004096_v1
69	golovin_controlled_resolution_convergence_v1_N004096_dt0p1_m009	golovin_controlled_resolution_convergence_v1	controlled	golovin	4096	0.1	300.0	3600.0	1	9	not_applicable	5541125111498364175	golovin_controlled_N004096_v1
70	golovin_controlled_resolution_convergence_v1_N004096_dt0p1_m010	golovin_controlled_resolution_convergence_v1	controlled	golovin	4096	0.1	300.0	3600.0	1	10	not_applicable	12034228950292362379	golovin_controlled_N004096_v1
71	golovin_controlled_resolution_convergence_v1_N004096_dt0p1_m011	golovin_controlled_resolution_convergence_v1	controlled	golovin	4096	0.1	300.0	3600.0	1	11	not_applicable	12414097800685028042	golovin_controlled_N004096_v1
72	golovin_controlled_resolution_convergence_v1_N004096_dt0p1_m012	golovin_controlled_resolution_convergence_v1	controlled	golovin	4096	0.1	300.0	3600.0	1	12	not_applicable	13735941247116931999	golovin_controlled_N004096_v1
73	golovin_controlled_resolution_convergence_v1_N004096_dt0p1_m013	golovin_controlled_resolution_convergence_v1	controlled	golovin	4096	0.1	300.0	3600.0	1	13	not_applicable	15734119765891568292	golovin_controlled_N004096_v1
74	golovin_controlled_resolution_convergence_v1_N004096_dt0p1_m014	golovin_controlled_resolution_convergence_v1	controlled	golovin	4096	0.1	300.0	3600.0	1	14	not_applicable	13422558745299353954	golovin_controlled_N004096_v1
75	golovin_controlled_resolution_convergence_v1_N004096_dt0p1_m015	golovin_controlled_resolution_convergence_v1	controlled	golovin	4096	0.1	300.0	3600.0	1	15	not_applicable	4995570983004308473	golovin_controlled_N004096_v1
76	golovin_controlled_resolution_convergence_v1_N004096_dt0p1_m016	golovin_controlled_resolution_convergence_v1	controlled	golovin	4096	0.1	300.0	3600.0	1	16	not_applicable	9508619079232603708	golovin_controlled_N004096_v1
77	golovin_controlled_resolution_convergence_v1_N004096_dt0p1_m017	golovin_controlled_resolution_convergence_v1	controlled	golovin	4096	0.1	300.0	3600.0	1	17	not_applicable	6554662618669392607	golovin_controlled_N004096_v1
78	golovin_controlled_resolution_convergence_v1_N004096_dt0p1_m018	golovin_controlled_resolution_convergence_v1	controlled	golovin	4096	0.1	300.0	3600.0	1	18	not_applicable	234445760709201606	golovin_controlled_N004096_v1
79	golovin_controlled_resolution_convergence_v1_N004096_dt0p1_m019	golovin_controlled_resolution_convergence_v1	controlled	golovin	4096	0.1	300.0	3600.0	1	19	not_applicable	14088897804691154433	golovin_controlled_N004096_v1
80	golovin_controlled_resolution_convergence_v1_N008192_dt0p1_m000	golovin_controlled_resolution_convergence_v1	controlled	golovin	8192	0.1	300.0	3600.0	1	0	not_applicable	6575269969663825576	golovin_controlled_N008192_v1
81	golovin_controlled_resolution_convergence_v1_N008192_dt0p1_m001	golovin_controlled_resolution_convergence_v1	controlled	golovin	8192	0.1	300.0	3600.0	1	1	not_applicable	8479653800752238210	golovin_controlled_N008192_v1
82	golovin_controlled_resolution_convergence_v1_N008192_dt0p1_m002	golovin_controlled_resolution_convergence_v1	controlled	golovin	8192	0.1	300.0	3600.0	1	2	not_applicable	2371998781972119396	golovin_controlled_N008192_v1
83	golovin_controlled_resolution_convergence_v1_N008192_dt0p1_m003	golovin_controlled_resolution_convergence_v1	controlled	golovin	8192	0.1	300.0	3600.0	1	3	not_applicable	3751932691150091320	golovin_controlled_N008192_v1
84	golovin_controlled_resolution_convergence_v1_N008192_dt0p1_m004	golovin_controlled_resolution_convergence_v1	controlled	golovin	8192	0.1	300.0	3600.0	1	4	not_applicable	12650517249902695036	golovin_controlled_N008192_v1
85	golovin_controlled_resolution_convergence_v1_N008192_dt0p1_m005	golovin_controlled_resolution_convergence_v1	controlled	golovin	8192	0.1	300.0	3600.0	1	5	not_applicable	14704506262250781806	golovin_controlled_N008192_v1
86	golovin_controlled_resolution_convergence_v1_N008192_dt0p1_m006	golovin_controlled_resolution_convergence_v1	controlled	golovin	8192	0.1	300.0	3600.0	1	6	not_applicable	17230343778211844890	golovin_controlled_N008192_v1
