case_index	run_label	matrix_stage	initialization_family	kernel	max_superdroplets	collision_timestep_s	observation_timestep_s	end_time_s	model_threads	member_index	initialization_seed	collision_seed	controlled_bundle_label
50	golovin_fixed10_high_resolution_screen_v2_N131072_dt0p1_m000	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	131072	0.1	300.0	3600.0	1	0	not_applicable	10658457629942112162	golovin_fixed10_screen_N131072_v1
51	golovin_fixed10_high_resolution_screen_v2_N131072_dt0p1_m001	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	131072	0.1	300.0	3600.0	1	1	not_applicable	6846084016899006630	golovin_fixed10_screen_N131072_v1
52	golovin_fixed10_high_resolution_screen_v2_N131072_dt0p1_m002	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	131072	0.1	300.0	3600.0	1	2	not_applicable	2360331056115816444	golovin_fixed10_screen_N131072_v1
53	golovin_fixed10_high_resolution_screen_v2_N131072_dt0p1_m003	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	131072	0.1	300.0	3600.0	1	3	not_applicable	18426503046264624155	golovin_fixed10_screen_N131072_v1
54	golovin_fixed10_high_resolution_screen_v2_N131072_dt0p1_m004	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	131072	0.1	300.0	3600.0	1	4	not_applicable	13174933805214201482	golovin_fixed10_screen_N131072_v1
55	golovin_fixed10_high_resolution_screen_v2_N131072_dt0p1_m005	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	131072	0.1	300.0	3600.0	1	5	not_applicable	12039808805390616536	golovin_fixed10_screen_N131072_v1
56	golovin_fixed10_high_resolution_screen_v2_N131072_dt0p1_m006	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	131072	0.1	300.0	3600.0	1	6	not_applicable	9378628692280990178	golovin_fixed10_screen_N131072_v1
57	golovin_fixed10_high_resolution_screen_v2_N131072_dt0p1_m007	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	131072	0.1	300.0	3600.0	1	7	not_applicable	3788091018867963191	golovin_fixed10_screen_N131072_v1
58	golovin_fixed10_high_resolution_screen_v2_N131072_dt0p1_m008	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	131072	0.1	300.0	3600.0	1	8	not_applicable	6130950362096080690	golovin_fixed10_screen_N131072_v1
59	golovin_fixed10_high_resolution_screen_v2_N131072_dt0p1_m009	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	131072	0.1	300.0	3600.0	1	9	not_applicable	433556373723887405	golovin_fixed10_screen_N131072_v1
60	golovin_fixed10_high_resolution_screen_v2_N262144_dt0p1_m000	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	262144	0.1	300.0	3600.0	1	0	not_applicable	3486400749179034723	golovin_fixed10_screen_N262144_v1
61	golovin_fixed10_high_resolution_screen_v2_N262144_dt0p1_m001	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	262144	0.1	300.0	3600.0	1	1	not_applicable	7441874152021227260	golovin_fixed10_screen_N262144_v1
