collision_timestep_s,reference_collision_timestep_s,time_s,metric,n_common_streams,estimated_difference,ci_method,95ci_low,95ci_high,equivalence_margin,equivalence_pass
0.1,0.1,3600.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_500,5,0.0,common_stream_percentile_bootstrap,0.0,0.0,0.01,True
0.1,0.1,3600.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_1000,5,0.0,common_stream_percentile_bootstrap,0.0,0.0,0.01,True
0.25,0.1,600.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_250,5,-0.0003707083040501852,common_stream_percentile_bootstrap,-0.009271983002081381,0.008849657529766242,0.01,True
0.25,0.1,600.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_500,5,0.002356407306583312,common_stream_percentile_bootstrap,-0.00837237426463179,0.013467820541877092,0.01,False
0.25,0.1,600.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_1000,5,0.0012439982370324315,common_stream_percentile_bootstrap,-0.013975990250613107,0.018333352501231387,0.01,False
0.25,0.1,1200.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_250,5,1.7248251155364824e-05,common_stream_percentile_bootstrap,-0.016806490618994294,0.01732384916643938,0.01,False
0.25,0.1,1200.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_500,5,0.005675120389869261,common_stream_percentile_bootstrap,-0.014123655100869562,0.014831037542721387,0.01,False
0.25,0.1,1200.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_1000,5,0.004351890370959885,common_stream_percentile_bootstrap,-0.012142407822196027,0.014834562962752512,0.01,False
0.25,0.1,1800.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_250,5,-0.001305290331668263,common_stream_percentile_bootstrap,-0.010238971429323,0.009785391036847536,0.01,False
0.25,0.1,1800.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_500,5,0.0026734128202789073,common_stream_percentile_bootstrap,-0.013049399976392748,0.0170399072896973,0.01,False
0.25,0.1,1800.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_1000,5,0.006318567057580521,common_stream_percentile_bootstrap,-0.009873610211133463,0.015271327777402477,0.01,False
0.25,0.1,2400.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_250,5,-0.0015232631442906805,common_stream_percentile_bootstrap,-0.014076330081278045,0.01093922432014778,0.01,False
0.25,0.1,2400.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_500,5,0.005756950155022103,common_stream_percentile_bootstrap,-0.00912814051206376,0.009566231286482915,0.01,True
0.25,0.1,2400.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_1000,5,0.004042554295653394,common_stream_percentile_bootstrap,-0.009122932750235346,0.006653743673313603,0.01,True
0.25,0.1,3000.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_250,5,0.0004951866413322042,common_stream_percentile_bootstrap,-0.01105832043614579,0.022163800440843165,0.01,False
0.25,0.1,3000.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_500,5,0.0018548150759294182,common_stream_percentile_bootstrap,-0.0104422638469318,0.016470351955420626,0.01,False
0.25,0.1,3000.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_1000,5,0.006807314202805614,common_stream_percentile_bootstrap,-0.009610392738245987,0.022081545858614743,0.01,False
0.25,0.1,3600.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_250,5,0.008820482428892593,common_stream_percentile_bootstrap,-0.008978879192522257,0.020502352139094085,0.01,False
0.25,0.1,3600.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_500,5,0.0052872476611504765,common_stream_percentile_bootstrap,-0.0034342515458019307,0.019032091682474217,0.01,False
0.25,0.1,3600.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_1000,5,0.012706892811538473,common_stream_percentile_bootstrap,-0.008685074190592279,0.02144638974436719,0.01,False
0.5,0.1,600.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_250,5,0.004772307285449591,common_stream_percentile_bootstrap,-0.007648334559223792,0.015648864548036434,0.01,False
0.5,0.1,600.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_500,5,0.0021398811426365447,common_stream_percentile_bootstrap,-0.010213420034585127,0.010947641513713663,0.01,False
0.5,0.1,600.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_1000,5,0.00401961845640339,common_stream_percentile_bootstrap,-0.01186790764480844,0.015649387105304974,0.01,False
0.5,0.1,1200.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_250,5,-0.0016008853375215348,common_stream_percentile_bootstrap,-0.018628498523295706,0.012347506583928552,0.01,False
0.5,0.1,1200.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_500,5,0.008782933376149021,common_stream_percentile_bootstrap,-0.00593188262181521,0.01586745285558116,0.01,False
0.5,0.1,1200.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_1000,5,0.00809670088278261,common_stream_percentile_bootstrap,-0.004099999568274365,0.014200455687742614,0.01,False
0.5,0.1,1800.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_250,5,-0.005905956766999683,common_stream_percentile_bootstrap,-0.01777242423557699,0.012837938207846254,0.01,False
0.5,0.1,1800.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_500,5,-0.00403454744307042,common_stream_percentile_bootstrap,-0.018252100614237474,0.013058973795234616,0.01,False
0.5,0.1,1800.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_1000,5,-0.003168051014238782,common_stream_percentile_bootstrap,-0.01571318554410639,0.011599261906835912,0.01,False
0.5,0.1,2400.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_250,5,0.0085636515599287,common_stream_percentile_bootstrap,-0.010157476775535142,0.01735821439806448,0.01,False
0.5,0.1,2400.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_500,5,0.007105164609153863,common_stream_percentile_bootstrap,-0.018980243525316645,0.017321680938717915,0.01,False
0.5,0.1,2400.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_1000,5,0.00902300201036478,common_stream_percentile_bootstrap,-0.014111253940961327,0.019348706305447924,0.01,False
0.5,0.1,3000.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_250,5,0.004145236622991003,common_stream_percentile_bootstrap,-0.014991733997459449,0.018041014134984462,0.01,False
0.5,0.1,3000.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_500,5,0.011318101340221993,common_stream_percentile_bootstrap,-0.00039614505770807495,0.015495375900837494,0.01,False
0.5,0.1,3000.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_1000,5,0.010712305341597533,common_stream_percentile_bootstrap,-0.006980762570295812,0.023058363713114566,0.01,False
0.5,0.1,3600.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_250,5,0.004602964067800044,common_stream_percentile_bootstrap,-0.008988740808607315,0.02378955793599681,0.01,False
0.5,0.1,3600.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_500,5,0.003632613338647714,common_stream_percentile_bootstrap,-0.008597178697014804,0.01991809552460047,0.01,False
0.5,0.1,3600.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_1000,5,0.008095229599116516,common_stream_percentile_bootstrap,-0.007941861506912062,0.01847405090007112,0.01,False
1.0,0.1,600.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_250,5,0.012656279962090712,common_stream_percentile_bootstrap,-0.003799278470147223,0.017431103886332434,0.01,False
1.0,0.1,600.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_500,5,0.007450159012671466,common_stream_percentile_bootstrap,-0.011996511758735201,0.013530467631520222,0.01,False
1.0,0.1,600.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_1000,5,0.0031098132782563515,common_stream_percentile_bootstrap,-0.015004150366652202,0.014452890178635255,0.01,False
1.0,0.1,1200.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_250,5,0.002475718537143942,common_stream_percentile_bootstrap,-0.014702207569771975,0.024158205184370646,0.01,False
1.0,0.1,1200.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_500,5,0.013891838927887416,common_stream_percentile_bootstrap,-0.006076277167019806,0.027846535975643828,0.01,False
1.0,0.1,1200.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_1000,5,0.014772757842452397,common_stream_percentile_bootstrap,-0.0009452491925481116,0.02441495507504879,0.01,False
1.0,0.1,1800.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_250,5,-0.00022364023704874586,common_stream_percentile_bootstrap,-0.006526139795951784,0.006864143613862055,0.01,True
1.0,0.1,1800.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_500,5,-0.002851489993350838,common_stream_percentile_bootstrap,-0.009718886922493244,0.008420598438087755,0.01,True
1.0,0.1,1800.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_1000,5,-0.005269959315023623,common_stream_percentile_bootstrap,-0.02017447289187843,0.003664597124488689,0.01,False
1.0,0.1,2400.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_250,5,0.006017978740095978,common_stream_percentile_bootstrap,-0.005425865543084302,0.009755774759109867,0.01,True
1.0,0.1,2400.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_500,5,0.005270651396957107,common_stream_percentile_bootstrap,-0.010306212299081921,0.013104196907935434,0.01,False
1.0,0.1,2400.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_1000,5,0.005131792632110596,common_stream_percentile_bootstrap,-0.011066093591361098,0.01161547539131677,0.01,False
1.0,0.1,3000.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_250,5,0.014526976610786162,common_stream_percentile_bootstrap,-0.0008718260987786441,0.022026138122178955,0.01,False
1.0,0.1,3000.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_500,5,0.022618387535169183,common_stream_percentile_bootstrap,0.001522621313287481,0.031120246866626303,0.01,False
1.0,0.1,3000.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_1000,5,0.018692059273669445,common_stream_percentile_bootstrap,0.0007592475306364144,0.024200984407295748,0.01,False
1.0,0.1,3600.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_250,5,0.009340692685460644,common_stream_percentile_bootstrap,-0.011873936305922234,0.02754279912577655,0.01,False
1.0,0.1,3600.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_500,5,0.008959007194420582,common_stream_percentile_bootstrap,-0.007851414772091156,0.022709941204959297,0.01,False
1.0,0.1,3600.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_1000,5,0.012342689862276934,common_stream_percentile_bootstrap,-0.014417429204323984,0.0305451714121249,0.01,False
2.0,0.1,600.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_250,5,-0.002231766132811855,common_stream_percentile_bootstrap,-0.0065578682081133405,0.00938214826767602,0.01,True
2.0,0.1,600.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_500,5,-0.0004997650807463949,common_stream_percentile_bootstrap,-0.013087709753367607,0.020110753556586883,0.01,False
2.0,0.1,600.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_1000,5,-0.008974859839048666,common_stream_percentile_bootstrap,-0.01802419212148683,0.009334302968489444,0.01,False
2.0,0.1,1200.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_250,5,0.0001894748082892153,common_stream_percentile_bootstrap,-0.009859227796164702,0.016901458122183986,0.01,False
2.0,0.1,1200.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_500,5,0.009902029233428027,common_stream_percentile_bootstrap,-0.0039965364268588904,0.020883125634445915,0.01,False
2.0,0.1,1200.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_1000,5,0.011284160818601091,common_stream_percentile_bootstrap,-0.0019315203524644248,0.02065673144620324,0.01,False
2.0,0.1,1800.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_250,5,0.0037759813030297656,common_stream_percentile_bootstrap,-0.0076913589898804785,0.01657992815059696,0.01,False
2.0,0.1,1800.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_500,5,0.0001357446996554587,common_stream_percentile_bootstrap,-0.010498678397282774,0.017088068984055238,0.01,False
2.0,0.1,1800.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_1000,5,0.004684716861309224,common_stream_percentile_bootstrap,-0.00813967269581417,0.01664273862427898,0.01,False
2.0,0.1,2400.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_250,5,0.005265699805968915,common_stream_percentile_bootstrap,-0.007134808467121112,0.019831203098735213,0.01,False
2.0,0.1,2400.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_500,5,0.007258105797862652,common_stream_percentile_bootstrap,-0.008751769164228332,0.018101895255400666,0.01,False
2.0,0.1,2400.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_1000,5,0.006752826996883038,common_stream_percentile_bootstrap,-0.00931932329979146,0.020780609522303428,0.01,False
2.0,0.1,3000.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_250,5,0.009642025610415453,common_stream_percentile_bootstrap,-0.00012313694994101065,0.023286288170554476,0.01,False
2.0,0.1,3000.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_500,5,0.010265117789113744,common_stream_percentile_bootstrap,-0.002159861494182902,0.028741527040705844,0.01,False
2.0,0.1,3000.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_1000,5,0.01681233824500164,common_stream_percentile_bootstrap,0.0014804790733331241,0.02413874117454151,0.01,False
2.0,0.1,3600.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_250,5,-0.004738538452654442,common_stream_percentile_bootstrap,-0.02191531883483039,0.0066249077528791195,0.01,False
2.0,0.1,3600.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_500,5,0.0006986174485614366,common_stream_percentile_bootstrap,-0.010162150694893526,0.018405214527272257,0.01,False
2.0,0.1,3600.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_1000,5,0.011146007281448878,common_stream_percentile_bootstrap,-0.004983868869645414,0.021469465731071696,0.01,False
