run_label,kernel,matrix_stage,initialization_family,matrix_case_index,member_index,initialization_seed,collision_seed,max_superdroplets,collision_timestep_s,observation_timestep_s,end_time_s,tail_onset_status,tail_onset_lower_bound_s,tail_onset_upper_bound_s,tail_onset_first_recorded_crossing_s,onset_radius_threshold_um,onset_mass_fraction,maximum_absolute_liquid_mass_drift,large_drop_threshold_um,mass_weighted_radius_quantile
golovin_fixed10_high_resolution_screen_v2_N065536_dt0p1_m007,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,47,7,not_applicable,13460848239603991541,65536,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.9721901889369065e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N065536_dt0p1_m008,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,48,8,not_applicable,15828613341756230021,65536,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.7336609925422408e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N065536_dt0p1_m009,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,49,9,not_applicable,3861162633612260052,65536,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.934316040674844e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N131072_dt0p1_m000,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,50,0,not_applicable,10658457629942112162,131072,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,9.899261410595273e-10,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N131072_dt0p1_m001,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,51,1,not_applicable,6846084016899006630,131072,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.2300434004686167e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N131072_dt0p1_m002,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,52,2,not_applicable,2360331056115816444,131072,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,7.809881630294058e-10,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N131072_dt0p1_m003,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,53,3,not_applicable,18426503046264624155,131072,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,9.296297065475301e-10,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N131072_dt0p1_m004,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,54,4,not_applicable,13174933805214201482,131072,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.3923882047350844e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N131072_dt0p1_m005,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,55,5,not_applicable,12039808805390616536,131072,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,8.272091900352052e-10,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N131072_dt0p1_m006,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,56,6,not_applicable,9378628692280990178,131072,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.2151244455083088e-09,1000.0,0.99
