ensemble_size,log_radius_bins,lower_max_superdroplets,upper_max_superdroplets,time_s,metric,lower_estimate,upper_estimate,absolute_change,one_sided_95_upper_bound,minimum_worthwhile_improvement,diminishing_returns_pass
20,500,65536,131072,2400.0,golovin_relative_error_radius_moment_0_m3,0.0004378929768459716,-0.0028082090180211127,0.0032461019948670845,0.006991609909117691,0.01,True
20,500,65536,131072,2400.0,golovin_relative_error_radius_moment_6_um6_m3,-0.009370040612728652,0.005998483637280061,0.015368524250008713,0.025863134535196123,0.01,False
20,500,65536,131072,3000.0,ensemble_mean_l1,0.018695372722797407,0.012563987552315905,0.006131385170481502,0.013357871472735807,0.01,False
20,500,65536,131072,3000.0,golovin_relative_error_radius_moment_0_m3,0.00031786419953184765,-0.0027387905549159154,0.003056654754447763,0.006854323326909269,0.01,True
20,500,65536,131072,3000.0,golovin_relative_error_radius_moment_6_um6_m3,-0.015414851272041213,0.005526325415075889,0.0209411766871171,0.033142662538754794,0.01,False
20,500,65536,131072,3600.0,ensemble_mean_l1,0.025899632364166158,0.014588204922945342,0.011311427441220816,0.018178358024851543,0.01,False
20,500,65536,131072,3600.0,golovin_relative_error_radius_moment_0_m3,0.00026541859965769634,-0.0028224296324300346,0.003087848232087731,0.006753781401311516,0.01,True
20,500,65536,131072,3600.0,golovin_relative_error_radius_moment_6_um6_m3,-0.012215387792915621,0.0002656038155979867,0.012480991608513608,0.02974857380270656,0.01,False
40,500,16384,32768,600.0,ensemble_mean_l1,0.0203070549330251,0.013143174918709477,0.0071638800143156225,0.014215692488296263,0.01,False
40,500,16384,32768,600.0,golovin_relative_error_radius_moment_0_m3,0.0012818269839093787,0.0023126102735409187,0.00103078328963154,0.004067572420561912,0.01,True
40,500,16384,32768,600.0,golovin_relative_error_radius_moment_6_um6_m3,0.007387742979863212,-0.005961521724115621,0.013349264703978833,0.02229790686520847,0.01,False
40,500,16384,32768,1200.0,ensemble_mean_l1,0.021337508334690006,0.015408653281421242,0.005928855053268765,0.013256520165326467,0.01,False
