ensemble_size,log_radius_bins,max_superdroplets,time_s,metric,estimate,95ci_low,95ci_high,analytical_margin,analytical_validity_pass,maximum_absolute_liquid_mass_drift,conservation_pass,maximum_out_of_range_mass_fraction,range_coverage_pass
40,500,32768,1200.0,ensemble_mean_l1,0.015408653281421242,0.01792507106086087,0.024906361643171875,0.05,True,3.442459872715631e-09,True,0.0,True
40,500,32768,1200.0,golovin_relative_error_radius_moment_0_m3,0.0026887332704738586,2.9542279325178028e-05,0.005347924261622539,0.05,True,3.442459872715631e-09,True,0.0,True
40,500,32768,1200.0,golovin_relative_error_radius_moment_6_um6_m3,-0.00739538720665594,-0.015012439674120196,0.0002216652608083144,0.05,True,3.442459872715631e-09,True,0.0,True
40,500,32768,1800.0,ensemble_mean_l1,0.017445218810517363,0.01996028097041069,0.025986316852186164,0.05,True,3.442459872715631e-09,True,0.0,True
40,500,32768,1800.0,golovin_relative_error_radius_moment_0_m3,0.0031314312473334077,0.00041258978899666975,0.005850272705670146,0.05,True,3.442459872715631e-09,True,0.0,True
40,500,32768,1800.0,golovin_relative_error_radius_moment_6_um6_m3,-0.0076978164751835745,-0.018364576058442147,0.002968943108074997,0.05,True,3.442459872715631e-09,True,0.0,True
40,500,32768,2400.0,ensemble_mean_l1,0.016687649455753767,0.01940845439951796,0.026646607903889365,0.05,True,3.442459872715631e-09,True,0.0,True
40,500,32768,2400.0,golovin_relative_error_radius_moment_0_m3,0.003287625477014311,0.0004297356121365798,0.006145515341892042,0.05,True,3.442459872715631e-09,True,0.0,True
40,500,32768,2400.0,golovin_relative_error_radius_moment_6_um6_m3,-0.015528022884931676,-0.025396945609882662,-0.00565910015998069,0.05,True,3.442459872715631e-09,True,0.0,True
40,500,32768,3000.0,ensemble_mean_l1,0.020573627886877614,0.02323843997312793,0.03237214693287608,0.05,True,3.442459872715631e-09,True,0.0,True
40,500,32768,3000.0,golovin_relative_error_radius_moment_0_m3,0.0029930667947293934,0.0002833143161999701,0.005702819273258816,0.05,True,3.442459872715631e-09,True,0.0,True
40,500,32768,3000.0,golovin_relative_error_radius_moment_6_um6_m3,-0.02249307971873487,-0.03611337776123834,-0.008872781676231404,0.05,True,3.442459872715631e-09,True,0.0,True
40,500,32768,3600.0,ensemble_mean_l1,0.02383215109816364,0.027825251843149292,0.03823682413816769,0.05,True,3.442459872715631e-09,True,0.0,True
40,500,32768,3600.0,golovin_relative_error_radius_moment_0_m3,0.002430675947166705,-0.0004016138251468652,0.005262965719480275,0.05,True,3.442459872715631e-09,True,0.0,True
40,500,32768,3600.0,golovin_relative_error_radius_moment_6_um6_m3,-0.020379346144741295,-0.03994182004485171,-0.0008168722446308847,0.05,True,3.442459872715631e-09,True,0.0,True
40,500,65536,600.0,ensemble_mean_l1,0.0109188977529697,0.012155846307417882,0.0174163841292997,0.05,True,2.8018440900723363e-09,True,0.0,True
40,500,65536,600.0,golovin_relative_error_radius_moment_0_m3,-0.0007844888775560444,-0.0021241319399815427,0.0005551541848694537,0.05,True,2.8018440900723363e-09,True,0.0,True
40,500,65536,600.0,golovin_relative_error_radius_moment_6_um6_m3,-0.002423054231127575,-0.007121673154640053,0.0022755646923849023,0.05,True,2.8018440900723363e-09,True,0.0,True
40,500,65536,1200.0,ensemble_mean_l1,0.011308372396029734,0.013013039328424321,0.01764972188743547,0.05,True,2.8018440900723363e-09,True,0.0,True
40,500,65536,1200.0,golovin_relative_error_radius_moment_0_m3,-0.0005276838825100827,-0.002340886513425614,0.0012855187484054488,0.05,True,2.8018440900723363e-09,True,0.0,True
40,500,65536,1200.0,golovin_relative_error_radius_moment_6_um6_m3,-0.0031429873798204722,-0.009347619579097546,0.0030616448194566016,0.05,True,2.8018440900723363e-09,True,0.0,True
40,500,65536,1800.0,ensemble_mean_l1,0.013318040029272863,0.01500276839609507,0.019507177125481747,0.05,True,2.8018440900723363e-09,True,0.0,True
40,500,65536,1800.0,golovin_relative_error_radius_moment_0_m3,-0.0008297851358353952,-0.0027665255976549083,0.001106955325984118,0.05,True,2.8018440900723363e-09,True,0.0,True
40,500,65536,1800.0,golovin_relative_error_radius_moment_6_um6_m3,-0.004456462608265701,-0.010942836579023157,0.0020299113624917533,0.05,True,2.8018440900723363e-09,True,0.0,True
40,500,65536,2400.0,ensemble_mean_l1,0.013315589434888144,0.015040881244642769,0.019733817865339006,0.05,True,2.8018440900723363e-09,True,0.0,True
40,500,65536,2400.0,golovin_relative_error_radius_moment_0_m3,-0.0012572038444840171,-0.0035426955738640103,0.001028287884895976,0.05,True,2.8018440900723363e-09,True,0.0,True
40,500,65536,2400.0,golovin_relative_error_radius_moment_6_um6_m3,-0.004130766921260518,-0.013119343954398021,0.004857810111876987,0.05,True,2.8018440900723363e-09,True,0.0,True
40,500,65536,3000.0,ensemble_mean_l1,0.012169296137586983,0.015278225947542379,0.020947514768036492,0.05,True,2.8018440900723363e-09,True,0.0,True
40,500,65536,3000.0,golovin_relative_error_radius_moment_0_m3,-0.0013957646983148025,-0.003750184127608439,0.0009586547309788341,0.05,True,2.8018440900723363e-09,True,0.0,True
