lower_members,middle_members,upper_members,additional_members,projected_additional_cpu_hours,projected_additional_zarr_gb,maximum_projected_upper_bound
525,780,100,1105,53.921875,77.35192712,0.009987043184731412
525,785,100,1110,54.20590277777778,77.70193584,0.00998324688723149
520,790,100,1110,54.31,77.70193584,0.009999084615798771
520,795,100,1115,54.594027777777775,78.05194456,0.009995392000611223
520,800,100,1120,54.878055555555555,78.40195328,0.009991743005258957
520,805,100,1125,55.162083333333335,78.751962,0.009988136858802697
520,810,100,1130,55.44611111111111,79.10197072,0.00998457280842003
520,815,100,1135,55.73013888888889,79.45197944,0.009981050118874827
515,820,100,1135,55.83423611111111,79.45197944,0.009997543668119092
515,825,100,1140,56.11826388888889,79.80198816,0.009994114597422856
515,830,100,1145,56.40229166666666,80.15199688,0.009990724650384242
515,835,100,1150,56.68631944444444,80.5020056,0.009987373159168773
515,840,100,1155,56.97034722222222,80.85201432,0.009984059471099122
515,845,100,1160,57.254375,81.20202304,0.009980782948226397
510,850,100,1160,57.358472222222225,81.20202304,0.009997909582620763
510,855,100,1165,57.6425,81.55203176,0.00999471790282157
510,860,100,1170,57.92652777777778,81.90204048,0.009991561437010292
510,865,100,1175,58.21055555555556,82.2520492,0.009988439603938942
510,870,100,1180,58.49458333333333,82.60205792,0.009985351835115747
510,875,100,1185,58.77861111111111,82.95206664,0.009982297574456265
510,880,100,1190,59.06263888888889,83.30207536,0.009979276277945906
505,885,100,1190,59.16673611111111,83.30207536,0.009997061475802371
505,890,100,1195,59.450763888888886,83.65208408,0.009994116167632535
505,895,100,1200,59.734791666666666,84.0020928,0.009991202149937057
505,900,100,1205,60.018819444444446,84.35210152,0.00998831892539961
505,905,100,1210,60.30284722222222,84.70211024,0.009985466007213017
505,910,100,1215,60.586875,85.05211896,0.009982642918802449
505,915,100,1220,60.87090277777778,85.40212768,0.009979849193557409
500,920,100,1220,60.975,85.40212768,0.009998269885518466
500,925,100,1225,61.259027777777774,85.7521364,0.009995544512466582
500,930,100,1230,61.543055555555554,86.10214512,0.0099928470586741
500,935,100,1235,61.827083333333334,86.45215384,0.009990177096269664
500,940,100,1240,62.111111111111114,86.80216256,0.009987534206100341
500,945,100,1245,62.39513888888889,87.15217128,0.009984917977510208
500,950,100,1250,62.67916666666667,87.50218,0.009982328008125665
500,955,100,1255,62.96319444444445,87.85218872,0.00997976390364727
495,960,100,1255,63.06729166666667,87.85218872,0.009998837325835803
495,965,100,1260,63.35131944444444,88.20219744,0.009996334093614025
495,970,100,1265,63.63534722222222,88.55220616,0.009993855498227948
495,975,100,1270,63.919375,88.90221488,0.009991401176936076
495,980,100,1275,64.20340277777778,89.2522236,0.009988970774098088
495,985,100,1280,64.48743055555556,89.60223232,0.009986563941001583
495,990,100,1285,64.77145833333333,89.95224104,0.009984180335693869
495,995,100,1290,65.05548611111111,90.30224976,0.00998181962281865
495,1000,100,1295,65.33951388888889,90.65225848,0.009979481473457424
