max_superdroplets,time_s,metric,ensemble_members,point_estimate,bootstrap_variance_of_estimate,variance_coefficient_n_times_variance
65536,3600.0,golovin_relative_error_radius_moment_6_um6_m3,80,-0.005388367181719593,2.2204292615440165e-05,0.001776343409235213
65536,3600.0,ensemble_mean_l1,100,0.00982531963428725,8.475125437680418e-07,8.475125437680418e-05
65536,3600.0,golovin_relative_error_radius_moment_0_m3,100,-0.0012849210847544535,5.773128807892109e-07,5.773128807892109e-05
65536,3600.0,golovin_relative_error_radius_moment_6_um6_m3,100,-0.003122383453588584,1.7753086154324544e-05,0.0017753086154324543
131072,600.0,ensemble_mean_l1,40,0.007550314240090322,8.354587705853128e-07,3.3418350823412514e-05
131072,600.0,golovin_relative_error_radius_moment_0_m3,40,-0.000838534907063615,4.142569621957516e-07,1.6570278487830065e-05
131072,600.0,golovin_relative_error_radius_moment_6_um6_m3,40,-0.002612763008946406,2.307873994480359e-06,9.231495977921435e-05
131072,600.0,ensemble_mean_l1,60,0.005409802659599748,3.6835059655601416e-07,2.210103579336085e-05
131072,600.0,golovin_relative_error_radius_moment_0_m3,60,-0.0006687205642848563,2.059366312719296e-07,1.2356197876315775e-05
131072,600.0,golovin_relative_error_radius_moment_6_um6_m3,60,-0.0010802279297083643,1.5831339518392667e-06,9.4988037110356e-05
131072,600.0,ensemble_mean_l1,80,0.004668191660158407,2.8282341363794374e-07,2.26258730910355e-05
131072,600.0,golovin_relative_error_radius_moment_0_m3,80,-0.00019225215018226494,1.822199704591145e-07,1.457759763672916e-05
131072,600.0,golovin_relative_error_radius_moment_6_um6_m3,80,-0.0006851764275954797,1.2792454522499341e-06,0.00010233963617999474
131072,600.0,ensemble_mean_l1,100,0.0039187725903963725,2.1703190968737242e-07,2.170319096873724e-05
131072,600.0,golovin_relative_error_radius_moment_0_m3,100,8.155013580061543e-05,1.5251221863862235e-07,1.5251221863862235e-05
131072,600.0,golovin_relative_error_radius_moment_6_um6_m3,100,-0.0010348741722900124,1.0812286522720603e-06,0.00010812286522720604
131072,1200.0,ensemble_mean_l1,40,0.007944900208762123,8.894361693238276e-07,3.557744677295311e-05
131072,1200.0,golovin_relative_error_radius_moment_0_m3,40,-0.0010440192489345134,7.192674798567247e-07,2.8770699194268988e-05
131072,1200.0,golovin_relative_error_radius_moment_6_um6_m3,40,-0.000848585388253395,5.516198451595531e-06,0.00022064793806382126
131072,1200.0,ensemble_mean_l1,60,0.006065312526733922,5.075161132179524e-07,3.0450966793077142e-05
131072,1200.0,golovin_relative_error_radius_moment_0_m3,60,-0.0010257817516953704,4.2607597060096575e-07,2.5564558236057946e-05
131072,1200.0,golovin_relative_error_radius_moment_6_um6_m3,60,0.00048573321333870897,4.39443503927167e-06,0.0002636661023563002
