lower_max_superdroplets,upper_max_superdroplets,time_s,metric,ensemble_members_each,absolute_point_change,percentile_bootstrap_one_sided_upper_bound,normal_approximation_one_sided_upper_bound,normal_minus_percentile_bound
65536,131072,3000.0,golovin_relative_error_radius_moment_6_um6_m3,80,0.005731352988684199,0.013534959000017202,0.013497117747650684,-3.784125236651857e-05
65536,131072,3000.0,golovin_relative_error_radius_moment_6_um6_m3,100,0.0044024793243981055,0.011115677521328119,0.011190863981732743,7.51864604046238e-05
65536,131072,3600.0,ensemble_mean_l1,40,0.005895482047034575,0.010562880784774468,0.009485382587302445,-0.0010774981974720228
65536,131072,3600.0,ensemble_mean_l1,60,0.0033812802872088665,0.007681835798382901,0.006068847842185752,-0.001612987956197149
65536,131072,3600.0,ensemble_mean_l1,80,0.002343831229373405,0.006346457314179556,0.004564290065837892,-0.0017821672483416644
65536,131072,3600.0,ensemble_mean_l1,100,0.002785992565845034,0.005837584606237792,0.004694626536619144,-0.001142958069618648
65536,131072,3600.0,golovin_relative_error_radius_moment_0_m3,40,0.00022292766873937284,0.0030262523073840506,0.0027197879983302214,-0.0003064643090538292
65536,131072,3600.0,golovin_relative_error_radius_moment_0_m3,60,0.0005468299503442167,0.002569869648524621,0.0025338234152413684,-3.6046233283252606e-05
65536,131072,3600.0,golovin_relative_error_radius_moment_0_m3,80,0.00020112224581971807,0.002126261624234252,0.001943209994132009,-0.000183051630102243
65536,131072,3600.0,golovin_relative_error_radius_moment_0_m3,100,0.0003548410606246233,0.002015890021933259,0.0019416316598819513,-7.425836205130756e-05
65536,131072,3600.0,golovin_relative_error_radius_moment_6_um6_m3,40,0.009583729455601053,0.023265399590544918,0.023248414945063522,-1.6984645481395166e-05
65536,131072,3600.0,golovin_relative_error_radius_moment_6_um6_m3,60,0.006814342534373326,0.01767002622184436,0.01772959541877589,5.956919693152901e-05
65536,131072,3600.0,golovin_relative_error_radius_moment_6_um6_m3,80,0.007719585750528992,0.01728347288136441,0.017259299153766033,-2.4173727598376243e-05
65536,131072,3600.0,golovin_relative_error_radius_moment_6_um6_m3,100,0.004440243293286947,0.012877514559026826,0.012852405231161245,-2.510932786558076e-05
