lower_max_superdroplets,upper_max_superdroplets,time_s,log_radius_bins,projected_members_each_resolution,estimate_held_fixed,projected_95ci_low,projected_95ci_high,projected_largest_absolute_interval_edge,equivalence_margin,projected_equivalence_pass,projection_method
16384,32768,3000.0,500,300,0.0057909014449931615,0.004718667395846795,0.009451249854125961,0.009451249854125961,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,3000.0,500,400,0.0057909014449931615,0.004862319519629756,0.008960856154004122,0.008960856154004122,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,3000.0,500,600,0.0057909014449931615,0.0050327174778226555,0.008379158626596356,0.008379158626596356,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,3000.0,500,800,0.0057909014449931615,0.005134294868681437,0.008032397915789042,0.008032397915789042,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,3000.0,500,1000,0.0057909014449931615,0.005203614669350594,0.007795756837003345,0.007795756837003345,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,3000.0,500,1500,0.0057909014449931615,0.005311383800656936,0.0074278590178239925,0.0074278590178239925,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,3000.0,500,2000,0.0057909014449931615,0.0053756269834351195,0.007208548287981976,0.007208548287981976,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,3000.0,500,2500,0.0057909014449931615,0.005419468674847799,0.007058883328597546,0.007058883328597546,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,3000.0,1000,100,0.008476240999615577,0.0064876178723687885,0.01533673815500411,0.01533673815500411,0.01,False,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,3000.0,1000,150,0.008476240999615577,0.006852537015464772,0.014077813470454704,0.014077813470454704,0.01,False,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,3000.0,1000,200,0.008476240999615577,0.007070072101114974,0.013327345060501828,0.013327345060501828,0.01,False,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,3000.0,1000,300,0.008476240999615577,0.0073281089017829286,0.012437150879053808,0.012437150879053808,0.01,False,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,3000.0,1000,400,0.008476240999615577,0.007481929435992183,0.011906489577309843,0.011906489577309843,0.01,False,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,3000.0,1000,600,0.008476240999615577,0.007664389007540175,0.011277027235035141,0.011277027235035141,0.01,False,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,3000.0,1000,800,0.008476240999615577,0.007773156550365276,0.010901793030058702,0.010901793030058702,0.01,False,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,3000.0,1000,1000,0.008476240999615577,0.007847383150636907,0.010645720688828963,0.010645720688828963,0.01,False,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,3000.0,1000,1500,0.008476240999615577,0.007962780716034928,0.010247613748250454,0.010247613748250454,0.01,False,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,3000.0,1000,2000,0.008476240999615577,0.008031571350200373,0.010010294799504847,0.010010294799504847,0.01,False,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,3000.0,1000,2500,0.008476240999615577,0.00807851637416622,0.009848340430693284,0.009848340430693284,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
