run_label,kernel,matrix_stage,initialization_family,matrix_case_index,member_index,initialization_seed,collision_seed,max_superdroplets,collision_timestep_s,observation_timestep_s,end_time_s,tail_onset_status,tail_onset_lower_bound_s,tail_onset_upper_bound_s,tail_onset_first_recorded_crossing_s,onset_radius_threshold_um,onset_mass_fraction,maximum_absolute_liquid_mass_drift,large_drop_threshold_um,mass_weighted_radius_quantile
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m039,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,39,39,not_applicable,11475257952331957482,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,3.5463136871527468e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m040,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,40,40,not_applicable,136820731087347620,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,2.036409707528719e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m041,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,41,41,not_applicable,7777932424032996536,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,3.266047210459533e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m042,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,42,42,not_applicable,2035268175793727152,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,2.22806750826976e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m043,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,43,43,not_applicable,3614189788794869917,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.6184485973624874e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m044,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,44,44,not_applicable,4147028749212652937,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,2.045725366883744e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m045,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,45,45,not_applicable,8082361238906859003,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,3.034547058078374e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m046,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,46,46,not_applicable,4931052618610161209,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,2.0716306448065325e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m047,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,47,47,not_applicable,2526481311099891059,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.1513012765362873e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m048,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,48,48,not_applicable,156670700918715235,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.878043720537903e-09,1000.0,0.99
